instrument_code,observed_at,price_value
XAU_USD,2016-08-09,1339.00000000
XAU_KRW,2016-08-09,1480251.11000000
USD_KRW,2016-08-10,1094.00000000
EUR_KRW,2016-08-10,1223.53000000
JPY_KRW,2016-08-10,10.81910000
XAU_USD,2016-08-10,1344.30004883
XAU_KRW,2016-08-10,1470664.25342002
USD_KRW,2016-08-11,1100.13000000
EUR_KRW,2016-08-11,1226.97000000
JPY_KRW,2016-08-11,10.85330000
XAU_USD,2016-08-11,1342.50000000
XAU_KRW,2016-08-11,1476924.52500000
USD_KRW,2016-08-12,1106.10000000
EUR_KRW,2016-08-12,1234.19000000
JPY_KRW,2016-08-12,10.84810000
XAU_USD,2016-08-12,1335.80004883
XAU_KRW,2016-08-12,1477528.43401086
USD_KRW,2016-08-15,1099.34000000
EUR_KRW,2016-08-15,1229.06000000
JPY_KRW,2016-08-15,10.87950000
XAU_USD,2016-08-15,1340.30004883
XAU_KRW,2016-08-15,1473445.45568077
USD_KRW,2016-08-16,1091.11000000
EUR_KRW,2016-08-16,1232.41000000
JPY_KRW,2016-08-16,10.93140000
XAU_USD,2016-08-16,1350.50000000
XAU_KRW,2016-08-16,1473544.05500000
USD_KRW,2016-08-17,1111.17000000
EUR_KRW,2016-08-17,1252.95000000
JPY_KRW,2016-08-17,11.03630000
XAU_USD,2016-08-17,1342.69995117
XAU_KRW,2016-08-17,1491967.90474157
USD_KRW,2016-08-18,1110.39000000
EUR_KRW,2016-08-18,1257.07000000
JPY_KRW,2016-08-18,11.06580000
XAU_USD,2016-08-18,1351.19995117
XAU_KRW,2016-08-18,1500358.91377966
USD_KRW,2016-08-19,1120.56000000
EUR_KRW,2016-08-19,1269.15000000
JPY_KRW,2016-08-19,11.17900000
XAU_USD,2016-08-19,1340.40002441
XAU_KRW,2016-08-19,1501998.65135287
USD_KRW,2016-08-22,1123.51000000
EUR_KRW,2016-08-22,1270.24000000
JPY_KRW,2016-08-22,11.16890000
XAU_USD,2016-08-22,1337.69995117
XAU_KRW,2016-08-22,1502919.27213901
USD_KRW,2016-08-23,1116.22000000
EUR_KRW,2016-08-23,1265.68000000
JPY_KRW,2016-08-23,11.15330000
XAU_USD,2016-08-23,1340.59997559
XAU_KRW,2016-08-23,1496404.50475307
USD_KRW,2016-08-24,1122.61000000
EUR_KRW,2016-08-24,1264.96000000
JPY_KRW,2016-08-24,11.19930000
XAU_USD,2016-08-24,1324.40002441
XAU_KRW,2016-08-24,1486784.71140291
USD_KRW,2016-08-25,1116.32000000
EUR_KRW,2016-08-25,1260.33000000
JPY_KRW,2016-08-25,11.10910000
XAU_USD,2016-08-25,1320.09997559
XAU_KRW,2016-08-25,1473654.00475063
USD_KRW,2016-08-26,1114.28000000
EUR_KRW,2016-08-26,1258.02000000
JPY_KRW,2016-08-26,11.10050000
XAU_USD,2016-08-26,1321.50000000
XAU_KRW,2016-08-26,1472521.02000000
USD_KRW,2016-08-29,1123.28000000
EUR_KRW,2016-08-29,1254.70000000
JPY_KRW,2016-08-29,10.98300000
XAU_USD,2016-08-29,1322.90002441
XAU_KRW,2016-08-29,1485987.13941926
USD_KRW,2016-08-30,1114.32000000
EUR_KRW,2016-08-30,1244.47000000
JPY_KRW,2016-08-30,10.89060000
XAU_USD,2016-08-30,1311.69995117
XAU_KRW,2016-08-30,1461653.48958775
USD_KRW,2016-08-31,1117.19000000
EUR_KRW,2016-08-31,1243.66000000
JPY_KRW,2016-08-31,10.81350000
XAU_USD,2016-08-31,1306.90002441
XAU_KRW,2016-08-31,1460055.63827061
USD_KRW,2016-09-01,1121.79000000
EUR_KRW,2016-09-01,1250.35000000
JPY_KRW,2016-09-01,10.81710000
XAU_USD,2016-09-01,1312.19995117
XAU_KRW,2016-09-01,1472012.78322299
USD_KRW,2016-09-02,1115.80000000
EUR_KRW,2016-09-02,1248.91000000
JPY_KRW,2016-09-02,10.78230000
XAU_USD,2016-09-02,1322.09997559
XAU_KRW,2016-09-02,1475199.15276332
USD_KRW,2016-09-05,1106.45000000
EUR_KRW,2016-09-05,1234.36000000
JPY_KRW,2016-09-05,10.71120000
USD_KRW,2016-09-06,1105.62000000
EUR_KRW,2016-09-06,1233.76000000
JPY_KRW,2016-09-06,10.69210000
XAU_USD,2016-09-06,1349.40002441
XAU_KRW,2016-09-06,1491923.65498818
USD_KRW,2016-09-07,1090.10000000
EUR_KRW,2016-09-07,1224.94000000
JPY_KRW,2016-09-07,10.72350000
XAU_USD,2016-09-07,1344.30004883
XAU_KRW,2016-09-07,1465421.48322958
USD_KRW,2016-09-08,1089.65000000
EUR_KRW,2016-09-08,1230.87000000
JPY_KRW,2016-09-08,10.72190000
XAU_USD,2016-09-08,1336.80004883
XAU_KRW,2016-09-08,1456644.17320761
USD_KRW,2016-09-09,1104.17000000
EUR_KRW,2016-09-09,1244.18000000
JPY_KRW,2016-09-09,10.73960000
XAU_USD,2016-09-09,1330.09997559
XAU_KRW,2016-09-09,1468656.49004721
USD_KRW,2016-09-12,1115.56000000
EUR_KRW,2016-09-12,1252.33000000
JPY_KRW,2016-09-12,10.94890000
XAU_USD,2016-09-12,1321.00000000
XAU_KRW,2016-09-12,1473654.76000000
